,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
0,A,38.81B ,39.70B ,31.52 ,25.45 ,3.14 ,5.94 ,6.25 ,6.02 ,23.70 ,10/31/2023,4/30/2024,18.84%,23.71%,7.82%,20.71%,6.59B,22.53,-8.40%,--,1.61B,1.24B,4.22,2.00%,1.67B,5.73,2.73B,43.87%,2.15,21.31,1.9B,924.25M,1.07,22.70%,1.66M,2.85M,291.76M,291.76M,290.61M,4.24M,3.07,1.64%,1.45%,4.12M,0.94,0.71%,0.92,0.69%,21.85%,7/24/2024,7/2/2024,1398:1000,11/3/2014,,
1,AA,7.39B ,8.58B ,-- ,344.83 ,-- ,0.70 ,1.85 ,0.82 ,451.62 ,12/31/2023,3/31/2024,-6.41%,-1.23%,-0.33%,-14.34%,10.48B,58.79,-2.70%,--,564M,-672M,-3.76,--,1.36B,7.56,2.6B,46.98%,1.61,22.24,31M,447M,2.46,22.70%,6.13M,4.73M,179.56M,179.56M,177.49M,12.48M,1.86,8.95%,6.95%,15.41M,0.4,0.97%,0.40,0.97%,5.84%,6/7/2024,5/20/2024,1000:801,11/1/2016,,
2,AACG,26.20M ,23.02M ,-- ,-- ,-- ,0.80 ,1.94 ,0.72 ,-0.94 ,12/31/2023,12/31/2023,-15.19%,10.90%,-5.62%,-26.29%,221.62M,7.06,6.50%,--,-19.51M,-33.66M,-0.1500,324.10%,60.17M,0.96,22.61M,20.01%,0.22,3.59,8.75M,22.55M,1.02,22.70%,25.04k,14.06k,31.95M,31.59M,17.17M,14.14k,0.96,0.17%,0.04%,20.88k,--,--,0.00,0.00%,0.00%,8/24/2018,8/27/2018,--,--,,
3,AACI,82.32M ,84.99M ,-- ,-- ,-- ,-- ,13.47 ,-- ,-- ,9/30/2023,3/31/2024,0.00%,0.00%,-6.28%,--,--,--,--,--,--,-1.64M,-0.14,--,107.72k,0.01,2.78M,--,0.01,-1.35,-1.04M,517.21k,-0.02,22.70%,26.07k,19.67k,7.13M,7.13M,2.04M,7.66k,0.16,0.48%,0.11%,46,--,--,0.00,0.00%,0.00%,--,--,--,--,,
4,AACIU,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,9/30/2023,3/31/2024,0.00%,0.00%,-6.28%,--,--,--,--,--,--,-1.64M,-0.20,--,107.72k,0.01,2.78M,--,0.01,-1.35,-1.04M,517.21k,-0.02,22.70%,236,230,--,--,2.04M,49,0.75,--,--,49,--,--,0.00,0.00%,--,--,--,--,--,,
5,AACIW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,-6.28%,--,--,--,--,--,--,-1.64M,--,--,107.72k,0.01,2.78M,--,0.01,0.00,-1.04M,517.21k,-0.02,22.70%,--,--,--,--,2.04M,,,,,,--,--,--,--,--,--,--,--,--,,
6,AACT,666.56M ,669.92M ,28.60 ,-- ,-- ,-- ,1.31 ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,-0.37%,--,--,--,--,--,--,23.31M,0.37,--,1.64M,0.03,5M,--,4.89,-0.33,-1.61M,-1.51M,--,22.70%,238.67k,539.32k,50M,62.5M,45.12M,3.3k,0.01,--,0.01%,13.25k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
7,AADI,43.46M ,-43.65M ,1.89 ,-- ,-- ,2.00 ,0.48 ,3.48 ,-0.62 ,12/31/2023,3/31/2024,-288.72%,-364.51%,-33.11%,-58.22%,23.84M,0.88,-8.80%,--,-74.44M,-68.83M,-2.5500,--,88.27M,3.6,1.16M,1.29%,5.16,3.68,-58.01M,-35.58M,0.35,22.70%,204.87k,166.84k,24.55M,24.55M,16M,963.95k,5.5,5.81%,3.93%,1.1M,--,--,0.00,0.00%,0.00%,--,--,1:15,8/27/2021,,
8,AAGR,19.21M ,30.84M ,-- ,-- ,-- ,11.00 ,-- ,17.65 ,-- ,12/31/2023,3/31/2024,0.00%,"-3,657.77%",-198.17%,--,1.75M,0.04,-16.90%,--,-43.86M,-46.12M,--,--,67.18k,0,11.7M,--,0.11,--,-5.23M,23.65M,-0.69,22.70%,245.69k,61.54k,57.87M,57.87M,15.32M,374.96k,3.06,1.74%,0.65%,554.63k,--,--,--,--,0.00%,--,--,1395:1000,12/7/2023,,
9,AAGRW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,"-3,657.77%",-198.17%,--,1.75M,0.04,-16.90%,--,-43.86M,-46.12M,--,--,67.18k,0,11.7M,--,0.11,--,-5.23M,23.65M,-0.69,22.70%,--,--,--,--,15.32M,,,,,,--,--,--,--,--,--,--,--,--,,
10,AAL,7.54B ,39.30B ,16.18 ,5.32 ,0.29 ,0.16 ,-- ,0.74 ,14.07 ,12/31/2023,3/31/2024,0.94%,0.80%,3.51%,--,53.17B,81.23,3.10%,--,5.93B,500M,0.71,--,9.1B,13.86,40.06B,--,0.58,-8.38,2.65B,351.62M,1.50,22.70%,33.14M,52.46M,656.09M,656.09M,647.02M,53.33M,1.69,9.23%,8.13%,51.72M,--,--,0.00,0.00%,0.00%,2/19/2020,2/4/2020,--,--,,
11,AAMC,5.90M ,-62.68M ,0.06 ,-- ,-- ,-- ,1.81 ,1.59 ,1.35 ,12/31/2023,3/31/2024,0.00%,-388.46%,-27.98%,-122.70%,1.27M,0.45,-89.00%,--,-27.5M,99.54M,39.8500,--,6.65M,2.6,12.09M,371.09%,0.57,1.27,-6.88M,-8.99M,1.29,22.70%,8.91k,5.97k,2.55M,2.55M,2.11M,13.56k,1.63,1.34%,0.53%,20.46k,--,--,0.00,0.00%,0.00%,--,--,17:10,11/1/2023,,
12,AAME,37.33M ,53.96M ,17.71 ,-- ,-- ,0.20 ,0.36 ,0.29 ,-- ,12/31/2023,3/31/2024,-0.39%,-3.51%,0.37%,-0.70%,187.52M,9.19,1.60%,--,2.7M,-1.12M,-0.0500,--,21.19M,1.04,40.34M,39.24%,1.41,5.04,8.91M,19.36M,0.42,22.70%,6.4k,4.44k,20.4M,20.4M,4.05M,1.03k,0.18,0.03%,0.01%,45k,0.02,1.09%,0.02,1.11%,14.29%,4/26/2024,4/11/2024,5:4,11/4/1986,,
13,AAN,247.15M ,910.35M ,6.67 ,200.00 ,-- ,0.12 ,0.37 ,0.43 ,1.73 ,12/31/2023,3/31/2024,-1.15%,2.57%,2.71%,-3.52%,2.1B,68.27,-7.70%,--,169.06M,-24.16M,-0.79,--,41.04M,1.34,704.24M,105.03%,3.09,21.90,100.91M,542.59M,1.39,22.70%,240.44k,322.19k,30.63M,30.63M,29.75M,534.99k,2.56,2.13%,1.75%,437.15k,0.5,6.20%,0.50,6.20%,555.56%,7/3/2024,6/14/2024,--,--,,
14,AAOI,396.08M ,504.17M ,-- ,84.03 ,-- ,1.70 ,2.02 ,2.46 ,-- ,12/31/2023,3/31/2024,-30.65%,-53.22%,-8.31%,-34.17%,205.29M,5.98,-23.30%,--,-28.73M,-62.93M,-1.79,--,8.43M,0.22,116.52M,59.53%,1.79,5.05,-27.02M,-19.19M,2.02,22.70%,1.81M,1.45M,38.91M,38.91M,36.91M,9.88M,4.48,26.71%,25.40%,9.21M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
15,AAON,5.96B ,5.97B ,33.71 ,-- ,-- ,5.20 ,7.59 ,5.12 ,21.26 ,12/31/2023,12/31/2021,15.44%,3.99%,16.41%,25.80%,1.16B,14.30,16.80%,--,288.64M,179.82M,2.15,-67.30%,2.86M,0.04,40M,8.58%,3.13,9.56,246.44M,78.79M,0.80,22.70%,818.96k,707.18k,82.21M,84.4M,67.79M,2.85M,2.11,4.81%,3.47%,2.78M,0.32,0.44%,0.32,0.44%,14.88%,6/28/2024,6/7/2024,3:2,8/17/2023,,
16,AAP,3.77B ,7.29B ,175.53 ,17.18 ,1.23 ,0.33 ,1.47 ,0.65 ,17.54 ,12/30/2023,4/20/2024,0.26%,2.53%,0.59%,1.16%,11.29B,189.93,-0.30%,--,420.83M,29.73M,0.36,-17.20%,451M,7.61,4.49B,175.02%,1.20,43.30,287.38M,37.64M,1.22,22.70%,1.79M,2.53M,59.62M,60.28M,58.79M,4.63M,3.74,10.31%,7.77%,4.78M,1,1.58%,2.25,3.56%,625.00%,7/26/2024,7/12/2024,3:2,9/26/2005,,
17,AAPL,2.96T ,3.00T ,30.03 ,26.25 ,2.04 ,7.91 ,39.91 ,7.86 ,22.55 ,9/30/2023,3/30/2024,26.31%,30.74%,22.07%,147.25%,381.62B,24.54,-4.30%,--,129.63B,100.39B,6.43,-2.20%,67.15B,4.38,104.59B,140.97%,1.04,4.84,110.56B,84.73B,1.25,22.70%,60.81M,57.35M,15.33B,15.33B,15.31B,99.29M,1.53,0.65%,0.65%,101.91M,1,0.52%,0.96,0.50%,14.93%,5/16/2024,5/10/2024,4:1,8/31/2020,,
18,AAT,1.31B ,2.92B ,24.09 ,-- ,-- ,3.69 ,1.09 ,6.57 ,11.46 ,12/31/2023,3/31/2024,12.17%,27.86%,2.55%,5.88%,439.65M,7.30,2.70%,--,239.21M,53.5M,0.89,19.40%,107.91M,1.77,1.71B,148.26,3.19,19.70,191.56M,91.77M,1.30,--,282.85k,340.33k,60.89M,--,52.18M,1M,4.21,3.54%,1.65%,966.84k,1.34,6.25%,1.33,6.18%,148.88%,6/20/2024,6/6/2024,--,--,,
19,AB,3.82B ,-- ,13.72 ,10.86 ,1.38 ,12.14 ,1.85 ,12.35 ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,--,13.30%,--,2.65,--,--,--,273.97M,2.42,14.50%,--,--,--,--,--,17.96,303.66M,--,1.26,22.70%,287.38k,173.28k,115.16M,115.16M,110.08M,1.34M,4.44,1.18%,1.16%,1.01M,2.76,8.31%,2.76,8.31%,111.16%,5/23/2024,5/3/2024,2:1,4/3/1998,,
20,ABAT,73.25M ,78.03M ,-- ,41.67 ,-- ,-- ,1.05 ,-- ,-- ,6/30/2023,3/31/2024,0.00%,0.00%,-27.81%,-58.33%,--,--,--,--,-32.47M,-36.16M,-0.7500,--,6.06M,0.1,10.83M,15.46%,0.61,1.27,-14.98M,-17.87M,1.85,22.70%,558.01k,354.32k,58.6M,58.6M,56.82M,4.75M,10.68,8.38%,8.11%,4.53M,--,--,0.00,0.00%,0.00%,--,--,1:15,9/11/2023,,
21,ABBV,301.01B ,356.94B ,50.73 ,15.20 ,0.45 ,5.55 ,37.59 ,6.56 ,19.29 ,12/31/2023,3/31/2024,11.02%,28.29%,7.71%,56.24%,54.4B,30.77,0.70%,--,26.12B,5.95B,3.36,472.80%,18.07B,10.23,74.36B,924.06%,0.94,4.53,22.69B,23.61B,0.58,22.70%,5.68M,5.68M,1.77B,1.77B,1.76B,15.93M,3.04,0.90%,0.90%,13.54M,6.2,3.64%,6.06,3.56%,178.27%,5/15/2024,4/12/2024,--,--,,
22,ABCB,3.25B ,-- ,11.46 ,10.48 ,-- ,3.12 ,0.93 ,3.85 ,-- ,12/31/2023,3/31/2024,29.32%,41.38%,1.09%,8.40%,965.31M,14.01,12.90%,--,--,283M,4.10,23.00%,1.23B,17.82,773.4M,--,--,50.61,455.84M,--,1.07,22.70%,299.96k,247.21k,69.11M,69.11M,64.99M,1.09M,4.03,2.29%,1.58%,1.07M,0.6,1.28%,0.60,1.28%,14.63%,4/8/2024,3/27/2024,211:210,6/28/2010,,
23,ABCL,1.04B ,410.66M ,-- ,-- ,-- ,28.56 ,0.92 ,11.48 ,-- ,12/31/2023,3/31/2024,0.00%,-551.48%,-9.59%,-12.56%,35.79M,0.12,-18.40%,--,-203.5M,-146.9M,-0.5100,--,698.02M,2.37,73.61M,6.52%,7.76,3.85,-41.52M,-88.16M,0.44,22.70%,1.26M,1.43M,294.05M,294.05M,198.54M,19.75M,14.25,8.73%,6.72%,23.09M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
24,ABEO,184.51M ,145.34M ,-- ,-- ,-- ,30.70 ,3.64 ,41.53 ,-0.58 ,12/31/2023,3/31/2024,0.00%,"-1,442.63%",-49.24%,"-1,555.11%",3.5M,0.15,--,--,-48.37M,-76.66M,-3.1500,--,62.34M,1.51,23.17M,--,5.61,-0.32,-39.8M,-21.28M,1.51,22.70%,718.91k,487.84k,41.19M,41.19M,30.59M,3.02M,2.34,7.58%,7.33%,2.06M,--,--,0.00,0.00%,0.00%,--,--,1:25,7/5/2022,,
25,ABEV,33.76B ,31.87B ,12.35 ,12.17 ,1.82 ,2.25 ,2.06 ,2.14 ,6.84 ,12/31/2023,3/31/2024,18.25%,23.94%,8.74%,17.20%,79.48B,5.05,-1.20%,--,23.24B,14.5B,0.1700,0.00%,13.92B,0.88,3.82B,4.37%,0.99,5.50,26.01B,12.28B,0.52,22.70%,14.43M,18.01M,15.75B,16.1B,4.41B,5.07M,0.43,--,0.03%,5.09M,0.15,7.02%,0.73,33.95%,80.01%,1/5/2024,12/22/2023,5:1,11/11/2013,,
26,ABG,4.67B ,9.75B ,8.39 ,7.84 ,0.64 ,0.31 ,1.40 ,0.63 ,9.53 ,12/31/2023,3/31/2024,3.68%,6.25%,7.24%,17.77%,15.42B,749.53,17.30%,--,1.13B,568.2M,27.59,-18.90%,64.7M,3.21,5.12B,152.98%,1.06,165.92,318.4M,-533.46M,1.19,22.70%,163.8k,141.4k,20.17M,20.17M,15.93M,1.98M,11.06,19.58%,9.84%,2.04M,--,--,0.00,0.00%,0.00%,8/22/2008,7/30/2008,--,--,,
27,ABIO,46.42M ,10.52M ,-- ,-- ,-- ,-- ,1.32 ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,-12.67%,-15.87%,--,--,--,--,-7.97M,-6M,-0.4200,--,35.9M,2.47,48k,0.14%,23.19,2.42,-4.95M,-3.84M,0.96,22.70%,1.46M,85.67k,14.51M,14.51M,4.93M,4.1M,24.99,39.50%,28.24%,5.66M,--,--,0.00,0.00%,0.00%,4/4/2019,--,1:18,4/4/2019,,
28,ABL,752.17M ,871.45M ,8.99k ,-- ,-- ,9.55 ,4.55 ,11.23 ,40.15 ,12/31/2023,3/31/2024,0.11%,17.69%,5.50%,0.13%,77.62M,1.29,109.20%,--,25.65M,82.38k,0.00,--,68.79M,1.09,188.07M,113.75%,3.12,2.62,-44.88M,16.13M,0.17,22.70%,28.86k,34.39k,63.96M,63.96M,1.28M,322.92k,14.01,15.69%,0.51%,318.46k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
29,ABLLL,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.46k,4.12k,--,--,--,,,,,,--,--,--,--,--,5/15/2024,--,--,--,,
30,ABLLW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,--,--,0.00,0.00%,--,--,--,--,--,,
31,ABLV,46.07M ,37.39M ,4.58 ,-- ,-- ,0.29 ,4.04 ,0.25 ,2.79 ,12/31/2023,12/31/2023,6.54%,7.79%,15.20%,115.07%,149M,3.78,-20.30%,--,13.54M,9.44M,0.2400,2.60%,13.33M,0.32,15.86M,138.92%,3.10,0.27,23.57M,16.09M,--,22.70%,67.37k,17.7k,17.01M,47.21M,10.64M,37.98k,1.1,0.37%,0.09%,91.34k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
32,ABM,3.14B ,4.48B ,13.08 ,15.29 ,-- ,0.40 ,1.71 ,0.55 ,8.64 ,10/31/2023,4/30/2024,3.04%,4.02%,4.30%,13.75%,8.21B,127.27,1.70%,--,452M,249.3M,3.83,-15.60%,60.7M,0.97,1.4B,75.71%,1.44,29.38,405.2M,305.72M,1.16,22.70%,566.24k,515.94k,62.76M,63.29M,61.85M,1.98M,3.87,4.52%,3.13%,2.65M,0.9,1.80%,0.89,1.78%,23.24%,8/5/2024,7/5/2024,2:1,5/7/2002,,
33,ABNB,93.98B ,84.94B ,19.82 ,33.90 ,13.01 ,9.51 ,11.90 ,8.29 ,36.33 ,12/31/2023,3/31/2024,48.23%,4.72%,4.56%,74.91%,10.24B,16.05,17.80%,--,1.66B,4.94B,7.48,125.60%,11.09B,17.47,2.29B,29.00%,1.44,12.41,4.22B,3.07B,1.19,22.70%,3.97M,3.48M,441.5M,634.84M,422.74M,13.38M,3.04,3.07%,2.11%,16.67M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
34,ABOS,157.41M ,-67.13M ,4.40 ,-- ,-- ,-- ,0.60 ,-- ,-0.60 ,12/31/2023,3/31/2024,0.00%,0.00%,-16.82%,-25.36%,--,--,--,--,-65.71M,-55.94M,-1.0500,--,252.51M,4.2,30.58M,11.67%,30.20,4.36,-50.75M,-34.77M,0.15,22.70%,275.07k,392.61k,60.08M,60.08M,32.42M,815.99k,3.65,1.82%,1.36%,1.05M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
35,ABR,2.54B ,-- ,8.43 ,-- ,-- ,4.25 ,1.03 ,17.37 ,-- ,12/31/2023,3/31/2024,49.09%,48.37%,2.34%,11.63%,702.75M,3.77,-9.20%,--,--,303.62M,1.60,-27.90%,909.73M,4.83,11.54B,356.88%,4.67,13.02,552.6M,--,1.95,22.70%,3.89M,2.86M,188.52M,188.52M,181.3M,74.34M,13.98,54.40%,39.43%,73.03M,1.72,12.76%,1.72,12.76%,106.88%,5/31/2024,5/16/2024,--,--,,
36,ABSI,512.27M ,364.97M ,-- ,-- ,-- ,79.64 ,2.13 ,68.26 ,-0.39 ,12/31/2023,3/31/2024,0.00%,"-2,616.70%",-20.30%,-44.20%,5.35M,0.06,-29.20%,--,-78.78M,-109.19M,-1.1600,--,161.54M,1.43,14.24M,5.93%,7.19,2.12,-62.38M,-32.22M,2.30,22.70%,1.1M,1.19M,113.08M,113.08M,84.08M,7.72M,8.88,10.14%,6.83%,8.63M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
37,ABT,186.99B ,194.93B ,33.49 ,23.15 ,4.32 ,4.66 ,4.82 ,4.83 ,18.73 ,12/31/2023,3/31/2024,13.96%,15.40%,6.09%,14.76%,40.33B,23.18,2.20%,--,10.37B,5.61B,3.21,-7.10%,6.65B,3.82,14.71B,37.66%,1.60,22.31,7.14B,4.61B,0.74,22.70%,6.14M,6.19M,1.74B,1.75B,1.73B,14.77M,2.62,0.85%,0.85%,12.94M,2.2,2.05%,2.12,1.97%,64.80%,5/15/2024,4/12/2024,10000:4798,1/2/2013,,
38,ABTS,23.18M ,22.30M ,-- ,-- ,-- ,13.78 ,2.05 ,13.26 ,-19.39 ,12/31/2023,12/31/2023,0.00%,-102.00%,-17.68%,-71.45%,1.68M,0.05,"1,250.10%",--,-237.01k,-12.59M,--,--,884.2k,0.03,--,--,1.65,--,1.76M,-5.54M,3.05,22.70%,216.07k,24.52k,35.55M,35.55M,25.87M,252.02k,6.45,0.71%,0.71%,268.42k,--,--,--,--,0.00%,--,--,1:5,4/22/2019,,
39,ABUS,592.57M ,465.02M ,-- ,-- ,-- ,40.97 ,5.17 ,35.81 ,-- ,12/31/2023,3/31/2024,0.00%,"-1,252.15%",-29.31%,-57.54%,12.99M,0.08,-77.10%,--,-78.65M,-74.39M,-0.4400,--,129.24M,0.69,8.08M,7.05%,6.70,0.64,-77.93M,-46.04M,1.98,22.70%,1.25M,1.25M,188.72M,188.72M,135.49M,5.34M,6.7,3.59%,2.83%,5.17M,--,--,0.00,0.00%,0.00%,--,--,1:5,11/4/2010,,
40,ABVC,8.67M ,10.98M ,-- ,-- ,-- ,187.21 ,1.11 ,432.74 ,-1.22 ,12/31/2023,3/31/2024,0.00%,"-285,841.50%",-48.40%,-281.82%,25.36k,0.00,-99.10%,--,-9.73M,-12.62M,-2.2800,--,106.41k,0.01,2.71M,36.19%,0.27,0.73,-3.21M,-2.5M,0.71,22.70%,1.16M,145.04k,10.85M,10.85M,7.97M,587.59k,0.4,7.34%,5.41%,532.98k,--,--,0.00,0.00%,0.00%,5/8/2019,--,1:10,7/25/2023,,
41,ABVX,881.57M ,660.05M ,-- ,-- ,-- ,-- ,4.14 ,157.63 ,-- ,12/31/2023,12/31/2023,0.00%,"-4,016.79%",-39.57%,-145.41%,4.49M,0.10,-0.10%,--,-127.25M,-147.74M,-3.71,--,260.99M,4.15,74.47M,37.99%,4.08,3.12,-97.13M,-57.41M,1.35,22.70%,55.89k,22.33k,62.92M,63.35M,29.87M,64.85k,1.67,--,0.11%,113.77k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
42,AC,734.07M ,338.68M ,22.13 ,-- ,-- ,56.14 ,0.80 ,25.60 ,7.41 ,12/31/2023,3/31/2024,253.37%,-165.06%,-1.11%,3.66%,13.23M,0.61,22.10%,--,-16.42M,33.52M,1.55,-22.20%,395.39M,18.48,--,--,21.84,42.80,-39.62M,-29.67M,0.88,22.70%,4.71k,2.81k,2.45M,21.4M,1.28M,10.7k,2.92,0.91%,0.05%,7.5k,0.2,0.58%,0.20,0.58%,12.90%,6/27/2024,6/14/2024,1005:1000,7/29/2020,,
43,ACA,4.10B ,4.53B ,28.93 ,24.81 ,-- ,1.75 ,1.73 ,1.92 ,12.39 ,12/31/2023,3/31/2024,6.05%,7.10%,3.16%,6.18%,2.36B,48.55,9.00%,--,342.6M,142.2M,2.92,-29.60%,176.5M,3.63,644.5M,27.15%,2.29,48.84,314.2M,76.12M,0.77,22.70%,228.27k,216.05k,48.58M,48.58M,47.76M,480.51k,1.8,1.38%,0.99%,418.88k,0.2,0.24%,0.20,0.24%,6.85%,10/29/2021,7/15/2024,--,--,,
44,ACAB,91.07M ,90.96M ,74.33 ,-- ,-- ,-- ,-- ,-- ,21.97 ,12/31/2023,12/31/2023,0.00%,0.00%,-0.60%,--,--,--,--,--,--,2.82M,0.15,--,264.54k,0.03,1.81M,--,0.85,-1.94,-3.85M,1.04M,0.00,22.70%,866,140,8.17M,8.17M,667.36k,34,0.02,0.00%,0.00%,112,--,--,0.00,0.00%,0.00%,--,--,--,--,,
45,ACAC,44.80M ,46.79M ,-- ,-- ,-- ,-- ,1.40 ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,-1.44%,--,--,--,--,--,--,625.36k,-0.46,-71.80%,89.95k,0.02,2.08M,--,0.05,-0.87,-766.92k,-16.39k,--,22.70%,5.17k,50,1.82M,3.97M,1.3M,2.19k,0.85,0.12%,0.06%,390,--,--,0.00,0.00%,0.00%,--,--,--,--,,
46,ACACU,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,-1.44%,--,--,--,--,--,--,625.36k,--,-71.80%,89.95k,0.02,2.08M,--,0.05,-0.87,-766.92k,-16.39k,--,22.70%,151,--,--,--,1.3M,2.48k,5.88,--,--,2.48k,--,--,0.00,0.00%,--,--,--,--,--,,
47,ACACW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,--,--,0.00,0.00%,--,--,--,--,--,,
48,ACAD,2.46B ,2.05B ,-- ,30.96 ,-- ,3.02 ,5.30 ,2.52 ,337.39 ,12/31/2023,3/31/2024,-0.21%,7.39%,-0.38%,-0.41%,813.81M,4.95,73.80%,--,6.07M,-1.71M,0.00,--,470.52M,2.85,59.64M,12.85%,2.04,2.81,63.71M,34.42M,0.40,22.70%,1.8M,1.29M,165.22M,165.22M,107.62M,11.98M,6.59,9.81%,7.25%,11.16M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
49,ACB,321.84M ,288.98M ,-- ,-- ,-- ,1.05 ,0.86 ,1.88 ,-- ,3/31/2023,12/31/2023,151.71%,-24.07%,--,--,275.88M,6.78,5.50%,--,-33.33M,410.72M,-57.47,--,148.55M,2.72,103.34M,18.51%,3.79,10.85,-83.36M,--,2.59,22.70%,7.94M,1.39M,54.54M,54.64M,54.37M,5.27M,0.7,--,9.68%,8.14M,--,--,0.00,0.00%,0.00%,5/11/2020,--,1:10,2/20/2024,,
50,ACCD,526.56M ,531.17M ,-- ,-- ,-- ,1.22 ,1.18 ,1.28 ,-11.78 ,2/29/2024,2/29/2024,-24.09%,-6.35%,-8.40%,-21.71%,414.29M,5.53,26.10%,--,-71.19M,-99.81M,-1.33,--,237.03M,3.03,241.65M,54.25%,2.64,5.71,-16.17M,12.36M,2.11,22.70%,641.22k,603.39k,78.36M,78.36M,70.62M,3.44M,4.36,4.51%,4.40%,3.14M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
51,ACCO,472.46M ,1.40B ,-- ,4.80 ,0.40 ,0.26 ,0.62 ,0.78 ,11.96 ,12/31/2023,3/31/2024,-1.36%,1.45%,3.55%,-3.11%,1.79B,18.73,-10.90%,--,211.6M,-24.4M,-0.2600,--,124.6M,1.3,1.05B,138.85%,1.69,7.93,180.1M,198.54M,1.61,22.70%,668.87k,691.91k,95.64M,95.64M,91.19M,1.85M,3.06,1.98%,1.93%,1.72M,0.3,6.07%,0.30,6.07%,51.72%,6/12/2024,5/16/2024,--,--,,
52,ACDC,1.42B ,2.52B ,93.91 ,18.12 ,-- ,0.59 ,1.17 ,1.07 ,5.28 ,12/31/2023,3/31/2024,-5.01%,7.60%,2.61%,-8.32%,2.35B,14.98,-32.20%,--,579.6M,-128.9M,-1.22,-91.80%,28.3M,0.18,1.13B,84.84%,1.07,7.60,399.1M,221.89M,0.94,22.70%,1.12M,785.36k,159.94M,159.94M,95.6M,4.67M,3.91,20.89%,2.92%,5.31M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
53,ACEL,854.21M ,1.14B ,20.00 ,-- ,-- ,0.75 ,4.23 ,0.97 ,7.25 ,12/31/2023,3/31/2024,3.72%,8.56%,7.53%,22.80%,1.18B,13.82,2.90%,--,166.76M,43.84M,0.51,-19.20%,262.83M,3.14,547.05M,270.65%,2.83,2.41,123.3M,26.86M,1.48,22.70%,298.96k,267.69k,83.75M,3.4M,42.77M,1.31M,3.81,2.53%,1.57%,1.52M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
