,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
1598,CTLT,10.13B ,14.95B ,-- ,46.73 ,2.53 ,2.46 ,2.80 ,3.62 ,-- ,6/30/2023,3/31/2024,-28.44%,0.56%,-0.71%,-28.29%,4.14B,22.75,3.60%,--,355M,-1.18B,-6.48,--,162M,0.89,4.99B,138.19%,2.51,19.96,250M,124.12M,1.20,23.23%,1.66M,1.72M,180.98M,180.98M,179.93M,6.8M,4.09,4.80%,3.76%,7.19M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1599,CTM,11.29M ,21.28M ,-- ,-- ,-- ,0.21 ,0.82 ,0.44 ,-11.30 ,12/31/2023,3/31/2024,-37.71%,-23.57%,-13.89%,-98.48%,46.64M,0.93,14.10%,--,-5.21M,-17.71M,-0.3600,--,2.25M,0.04,12.24M,95.44%,1.19,0.24,187.15k,1.25M,-0.61,23.23%,127.82k,152.42k,53.03M,53.03M,22.54M,74.01k,0.86,0.30%,0.14%,105.48k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1600,CTMX,113.76M ,-23.65M ,6.95 ,14.60 ,-- ,0.95 ,5.04 ,-0.44 ,0.33 ,12/31/2023,3/31/2024,13.87%,28.11%,3.23%,--,119.18M,1.53,76.40%,--,12.87M,16.53M,0.2100,--,150.28M,1.93,12.87M,--,1.16,-0.47,-91.43M,-471.75k,1.14,23.23%,6.62M,2.52M,77.92M,77.92M,58.39M,8.75M,0.56,11.31%,11.23%,3.59M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1601,CTNM,426.23M ,308.91M ,23.44 ,-- ,-- ,8.97 ,-- ,6.18 ,15.54 ,12/31/2023,3/31/2024,38.25%,22.52%,--,--,50M,21.44,--,--,11.45M,-447k,--,--,117.91M,4.58,585k,0.50%,19.20,--,16.62M,--,--,23.23%,94.83k,39.26k,18.99M,25.72M,13.34M,570.48k,9.41,--,2.17%,523.38k,--,--,--,--,0.00%,--,--,--,--,,
1602,CTNT,17.17M ,18.48M ,-- ,-- ,-- ,0.34 ,2.41 ,0.62 ,38.43 ,12/31/2023,3/31/2024,-1.24%,-54.48%,1.61%,-7.68%,29.61M,1.67,-85.20%,--,--,-367.13k,-0.0200,--,903.2k,0.05,2.22M,31.14%,5.07,0.37,3.2M,2.99M,--,23.23%,5.12M,4.2M,24.15M,32.4M,11.98M,26.75k,0.01,0.16%,0.08%,32.5k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1603,CTO,399.96M ,914.34M ,31.69 ,116.28 ,-- ,3.62 ,0.87 ,8.13 ,10.77 ,12/31/2023,3/31/2024,15.43%,19.06%,1.42%,3.69%,112.53M,5.00,13.80%,--,69.81M,12.6M,0.55,--,22.71M,0.99,543.95M,117.68%,6.06,20.18,48.85M,47.27M,0.59,23.23%,137.16k,113.1k,22.95M,22.95M,20.12M,902.66k,6.46,4.15%,3.93%,848.52k,1.52,8.72%,1.52,8.74%,276.36%,6/28/2024,6/13/2024,3:1,7/1/2022,,
1604,CTOS,1.13B ,3.43B ,52.22 ,29.41 ,-- ,0.63 ,1.26 ,1.88 ,8.79 ,12/31/2023,3/31/2024,1.24%,5.64%,3.16%,2.51%,1.82B,7.49,-9.00%,--,213.94M,22.58M,0.0900,--,7.99M,0.03,2.31B,257.61%,1.34,3.73,-49.16M,-240.05M,0.66,23.23%,672.52k,505.4k,240.42M,240.42M,54.73M,3.16M,3.93,6.01%,1.32%,2.43M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1605,CTR,292.41M ,-- ,8.70 ,-- ,-- ,6.87 ,1.06 ,9.01 ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,--,4.88,--,--,--,--,--,--,--,--,--,--,23.23%,17.51k,12.48k,6.89M,6.89M,--,,,,,,2.8,8.76%,0.00,0.00%,--,2/28/2019,8/23/2023,1:5,7/28/2020,,
1606,CTRA,20.20B ,21.65B ,15.78 ,13.26 ,-- ,3.69 ,1.54 ,3.89 ,6.20 ,12/31/2023,3/31/2024,23.70%,31.98%,5.22%,10.10%,5.48B,7.29,-12.70%,--,3.42B,1.3B,1.72,-48.00%,1.54B,2.07,2.99B,22.81%,1.49,17.57,3.02B,643.5M,0.20,23.23%,6.14M,6.16M,744.23M,744.23M,732.66M,17.86M,3.17,2.77%,2.40%,17.97M,0.84,3.10%,0.81,2.91%,47.09%,5/30/2024,5/15/2024,2:1,8/15/2013,,
1607,CTRE,3.59B ,3.73B ,47.64 ,-- ,-- ,14.06 ,2.14 ,18.12 ,24.09 ,12/31/2023,3/31/2024,27.47%,63.93%,4.53%,5.03%,230.23M,2.01,24.60%,--,195.54M,62.85M,0.53,49.50%,451.17M,3.18,595.87M,35.55%,6.24,11.81,168.47M,173.6M,1.09,23.23%,1.26M,1.56M,142.06M,142.06M,141.27M,3.6M,3.87,3.56%,2.53%,4.19M,1.16,4.59%,1.13,4.48%,213.21%,4/15/2024,3/27/2024,--,--,,
